case:concept:name,concept:name,time:timestamp,org:resource,lifecycle:transition
1,Create Purchase Requisition,2011-06-05 22:41:00+00:00,Fjodor Kowalski,start
1,Create Purchase Requisition,2011-06-05 22:53:25.230751+00:00,Fjodor Kowalski,complete
1,Analyze Purchase Requisition,2011-06-06 12:06:17.530474+00:00,Maris Freeman,start
1,Analyze Purchase Requisition,2011-06-06 12:12:09.263656+00:00,Maris Freeman,complete
1,Create Request for Quotation,2011-06-06 12:17:20.800309+00:00,Maris Freeman,start
1,Create Request for Quotation,2011-06-06 12:20:41.730380+00:00,Maris Freeman,complete
1,Analyze Request for Quotation,2011-06-06 14:32:19.478998+00:00,Karel de Groot,start
1,Analyze Request for Quotation,2011-06-06 14:55:30.583528+00:00,Karel de Groot,complete
1,Amend Request for Quotation,2011-06-06 18:12:18.455790+00:00,Christian Francois,start
1,Amend Request for Quotation,2011-06-06 18:24:12.414082+00:00,Christian Francois,complete
1,Analyze Request for Quotation,2011-06-06 19:23:07.218761+00:00,Karel de Groot,start
1,Analyze Request for Quotation,2011-06-06 19:40:04.999849+00:00,Karel de Groot,complete
1,Amend Request for Quotation,2011-06-06 20:18:23.215096+00:00,Christian Francois,start
1,Amend Request for Quotation,2011-06-06 20:25:56.006729+00:00,Christian Francois,complete
1,Analyze Request for Quotation,2011-06-13 15:07:27.650789+00:00,Karel de Groot,start
1,Analyze Request for Quotation,2011-06-13 15:38:08.832302+00:00,Karel de Groot,complete
2,Create Purchase Requisition,2011-06-06 04:17:10.338480+00:00,Kim Passa,start
2,Create Purchase Requisition,2011-06-06 04:53:54.738497+00:00,Kim Passa,complete
2,Analyze Purchase Requisition,2011-06-06 18:30:03.432216+00:00,Maris Freeman,start
2,Analyze Purchase Requisition,2011-06-06 18:37:46.115109+00:00,Maris Freeman,complete
2,Create Request for Quotation,2011-06-06 18:43:59.384368+00:00,Maris Freeman,start
2,Create Request for Quotation,2011-06-06 18:45:18.030023+00:00,Maris Freeman,complete
2,Analyze Request for Quotation,2011-06-08 07:38:25.990846+00:00,Magdalena Predutta,start
2,Analyze Request for Quotation,2011-06-08 07:59:57.628423+00:00,Magdalena Predutta,complete
2,Send Request for Quotation to Supplier,2011-06-09 19:29:48.627705+00:00,Karel de Groot,start
2,Send Request for Quotation to Supplier,2011-06-09 19:50:12.640343+00:00,Karel de Groot,complete
2,Create Quotation comparison Map,2011-06-09 20:28:48.064349+00:00,Magdalena Predutta,start
2,Create Quotation comparison Map,2011-06-09 21:45:35.656392+00:00,Magdalena Predutta,complete
2,Analyze Quotation Comparison Map,2011-06-10 10:13:23.438305+00:00,Esmana Liubiata,start
2,Analyze Quotation Comparison Map,2011-06-10 12:29:37.077647+00:00,Nico Ojenbeer,complete
2,Choose best option,2011-06-10 12:29:37.077647+00:00,Immanuel Karagianni,start
2,Choose best option,2011-06-10 12:29:37.077647+00:00,Immanuel Karagianni,complete
2,Settle Conditions With Supplier,2011-06-10 20:40:18.662115+00:00,Magdalena Predutta,start
2,Settle Conditions With Supplier,2011-06-11 10:19:01.065169+00:00,Magdalena Predutta,complete
2,Create Purchase Order,2011-06-11 13:42:33.664684+00:00,Magdalena Predutta,start
2,Create Purchase Order,2011-06-11 13:54:01.728304+00:00,Magdalena Predutta,complete
2,Confirm Purchase Order,2011-06-12 09:24:04.957544+00:00,Esmeralda Clay,start
2,Confirm Purchase Order,2011-06-12 09:34:57.609468+00:00,Esmeralda Clay,complete
2,Deliver Goods Services,2011-06-14 19:12:22.068920+00:00,Sean Manney,start
2,Deliver Goods Services,2011-06-15 13:49:30.938195+00:00,Sean Manney,complete
2,Release Purchase Order,2011-06-15 22:08:06.837170+00:00,Immanuel Karagianni,start
